,COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,bus,opel,saab,van
0,0.4782608695652174,0.5769230769230769,0.6142857142857143,0.3201754385964912,0.27472527472527475,0.14285714285714285,0.33557046979865773,0.45714285714285713,0.2727272727272727,0.6029411764705882,0.24210526315789474,0.23955773955773957,0.47368421052631576,0.13333333333333333,0.2727272727272727,0.3902439024390244,0.39285714285714285,0.5333333333333333,0,0,0,1
1,0.391304347826087,0.3076923076923077,0.6285714285714286,0.15789473684210525,0.10989010989010989,0.12244897959183673,0.2483221476510067,0.5428571428571428,0.18181818181818182,0.36764705882352944,0.21052631578947367,0.17936117936117937,0.3026315789473684,0.16,0.4090909090909091,0.34146341463414637,0.4642857142857143,0.6,0,0,0,1
2,0.6739130434782609,0.6538461538461539,0.9428571428571428,0.45614035087719296,0.2087912087912088,0.14285714285714285,0.6375838926174496,0.17142857142857143,0.5454545454545454,0.5882352941176471,0.48947368421052634,0.5540540540540541,0.7105263157894737,0.17333333333333334,0.6363636363636364,0.21951219512195122,0.42857142857142855,0.5,0,0,1,0
3,0.43478260869565216,0.3076923076923077,0.6,0.23684210526315788,0.17582417582417584,0.12244897959183673,0.21476510067114093,0.5714285714285714,0.18181818181818182,0.36764705882352944,0.15789473684210525,0.15356265356265356,0.09868421052631579,0.04,0.2727272727272727,0.24390243902439024,0.8214285714285714,0.8666666666666667,0,0,0,1
4,0.2608695652173913,0.4230769230769231,0.42857142857142855,0.43859649122807015,0.6153846153846154,1.0,0.2483221476510067,0.5428571428571428,0.18181818181818182,0.38235294117647056,0.5842105263157895,0.1732186732186732,0.5,0.8933333333333333,0.4090909090909091,0.2682926829268293,0.14285714285714285,0.06666666666666667,1,0,0,0
5,0.7391304347826086,0.9230769230769231,0.9428571428571428,0.29385964912280704,0.03296703296703297,0.061224489795918366,0.959731543624161,0.0,1.0,0.75,0.7894736842105263,0.9496314496314496,1.0,0.3333333333333333,0.22727272727272727,0.21951219512195122,0.17857142857142858,0.06666666666666667,1,0,0,0
6,0.5217391304347826,0.38461538461538464,0.4714285714285714,0.2982456140350877,0.1978021978021978,0.061224489795918366,0.2751677852348993,0.45714285714285713,0.18181818181818182,0.36764705882352944,0.24210526315789474,0.21744471744471744,0.39473684210526316,0.08,0.5909090909090909,0.024390243902439025,0.8571428571428571,0.7666666666666667,1,0,0,0
7,0.3695652173913043,0.38461538461538464,0.37142857142857144,0.22807017543859648,0.1978021978021978,0.12244897959183673,0.16778523489932887,0.6285714285714286,0.09090909090909091,0.4117647058823529,0.16842105263157894,0.11916461916461916,0.34210526315789475,0.09333333333333334,0.13636363636363635,0.07317073170731707,0.6071428571428571,0.7,0,0,0,1
8,0.2826086956521739,0.038461538461538464,0.3142857142857143,0.15350877192982457,0.15384615384615385,0.08163265306122448,0.06711409395973154,0.8,0.0,0.1323529411764706,0.05789473684210526,0.04791154791154791,0.0,0.05333333333333334,0.09090909090909091,0.34146341463414637,0.8571428571428571,0.9,0,0,0,1
9,0.43478260869565216,0.4230769230769231,0.8285714285714286,0.40350877192982454,0.16483516483516483,0.16326530612244897,0.47651006711409394,0.2857142857142857,0.45454545454545453,0.4117647058823529,0.37894736842105264,0.39434889434889436,0.2631578947368421,0.05333333333333334,0.18181818181818182,0.34146341463414637,0.6785714285714286,0.7666666666666667,0,0,1,0
